99Liu_Si [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Fe [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Si [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Fe [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Si [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Si [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Si [wt%]LIQUID+AL13FE4+FCC_A1,99Liu_Fe [wt%] LIQUID+AL13FE4+FCC_A1,NucleoScheil_Si [wt%],NucleoScheil_Fe [wt%],Scheil1_Si [wt%],Scheil1_Fe [wt%]
,,,,,,,,,,,,,,7.61035629,1.618882466,6.908541653,1.809563107
,,,,,,,,,,,,,,7.624552281,1.622261013,6.907524632,1.806202337
,,,,,,,,,,,,,,7.638744491,1.625639394,6.90650895,1.802846398
,,,,,,,,,,,,,,7.652932919,1.629017605,6.905494609,1.799495287
,,,,,,,,,,,,,,7.667117567,1.632395638,6.904481605,1.796149
,,,,,,,,,,,,,,7.624687623,1.481990887,6.903469939,1.792807533
,,,,,,,,,,,,,,7.739260988,1.506972568,6.90245961,1.789470881
,,,,,,,,,,,,,,7.753491656,1.510076383,6.901450617,1.78613904
,,,,,,,,,,,,,,7.767718519,1.513179876,6.900442959,1.782812009
,,,,,,,,,,,,,,7.78194154,1.516283167,6.899436634,1.77948978
,,,,,,,,,,,,,,7.796160472,1.519386989,6.898431642,1.776172351
,,,,,,,,,,,,,,7.810375552,1.522490603,6.897427983,1.772859718
,,,,,,,,,,,,,,7.824586765,1.525594082,6.896425655,1.769551876
,,,,,,,,,,,,,,7.838794126,1.52869734,6.895424657,1.766248822
,,,,,,,,,,,,,,7.852997609,1.53180045,6.894424989,1.762950552
,,,,,,,,,,,,,,7.867197223,1.534903402,6.89342665,1.759657061
,,,,,,,,,,,,,,7.88139275,1.538006861,6.892429638,1.756368346
,,,,,,,,,,,,,,7.895584419,1.541110085,6.891433954,1.753084403
,,,,,,,,,,,,,,7.909772208,1.544213145,6.890439595,1.749805228
,,,,,,,,,,,,,,7.923956128,1.54731603,6.889446561,1.746530816
,,,,,,,,,,,,,,7.938136165,1.550418735,6.888454851,1.743261163
,,,,,,,,,,,,,,7.952312333,1.553521256,6.887464465,1.739996267
,,,,,,,,,,,,,,7.966484616,1.556623585,6.886475402,1.736736122
,,,,,,,,,,,,,,7.980652805,1.5597264,6.885487659,1.733480724
,,,,,,,,,,,,,,7.994817114,1.562829021,6.884501237,1.730230071
